Easting,Northing,n
522175.0009,272874.9999,3
522475.0009,272674.9999,3
522525.0009,272624.9999,3
522575.0009,272574.9999,3
522775.0009,271374.9999,3
522975.0009,299724.9999,3
523175.0009,305774.9999,3
523325.0009,271724.9999,3
523375.0009,271724.9999,3
523375.0009,272474.9999,3
523575.0009,272724.9999,3
523825.0009,271574.9999,3
523825.0009,271724.9999,3
523825.0009,271824.9999,3
523825.0009,273374.9999,3
523875.0009,273874.9999,3
523925.0009,274074.9999,3
523975.0009,272024.9999,3
524025.0009,273124.9999,3
524025.0009,296924.9999,3
524225.0009,271524.9999,3
524275.0009,271924.9999,3
525125.0009,270224.9999,3
525625.0009,272724.9999,3
526075.0009,273074.9999,3
526125.0009,292124.9999,3
526125.0009,292224.9999,3
526425.0009,294724.9999,3
526475.0009,278474.9999,3
526625.0009,259824.9999,3
526775.0009,266674.9999,3
526825.0009,270074.9999,3
526875.0009,297224.9999,3
527275.0009,297124.9999,3
527325.0009,304174.9999,3
528175.0009,304274.9999,3
528425.0009,273424.9999,3
529025.0009,282624.9999,3
529425.0009,272374.9999,3
529475.0009,276674.9999,3
529725.0009,260674.9999,3
529725.0009,277524.9999,3
530075.0009,268974.9999,3
530275.0009,268774.9999,3
531025.0009,268624.9999,3
531775.0009,271024.9999,3
532275.0009,272124.9999,3
532475.0009,278924.9999,3
534075.0009,303974.9999,3
534975.0009,242824.9999,3
535075.0009,277924.9999,3
535525.0009,265874.9999,3
537125.0009,243724.9999,3
537675.0009,259574.9999,3
537675.0009,261874.9999,3
537725.0009,252524.9999,3
537775.0009,267324.9999,3
537875.0009,245174.9999,3
538275.0009,283774.9999,3
539325.0009,259524.9999,3
539375.0009,259474.9999,3
539475.0009,262924.9999,3
539475.0009,262974.9999,3
539525.0009,246674.9999,3
539575.0009,263074.9999,3
539625.0009,285574.9999,3
539625.0009,297324.9999,3
539725.0009,263174.9999,3
539825.0009,302974.9999,3
539875.0009,262824.9999,3
539975.0009,247474.9999,3
540225.0009,297624.9999,3
540425.0009,286424.9999,3
540725.0009,262174.9999,3
540925.0009,312674.9999,3
541375.0009,259424.9999,3
541425.0009,255874.9999,3
541575.0009,296924.9999,3
541625.0009,296424.9999,3
541675.0009,292074.9999,3
541675.0009,296724.9999,3
