Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
3015,20150109,2015,1,9,Friday,1932,Slight,A,1139,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,A1139 FLETTON PARKWAY PETERBOROUGH,2,Car,Going ahead,S,N,"Not at,or within 20m of, junction",Overturned,GV >3.5 < 7.5t mgw,Going ahead,S,N,"Not at,or within 20m of, junction",Did not skid,,,,,,,520173.1672,296587.0921
3016,20160108,2016,1,8,Friday,912,Slight,C,114,Not at junction,Day,Uncoded,Frost/Ice,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,WENNINGTON RD 1000M W OF THE COTTAGES LITTLE RAVELEY,1,Car,Going ahead left hand bend,E,SW,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,524330.7393,279452.5068
3112,20120103,2012,1,3,Tuesday,1745,Slight,U,0,Not at junction,Dark,Fine & windy,Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,BADGENEY RD 50M EAST OF ELWYN RD MARCH,1,Pedal cycle,Going ahead,NE,SW,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,542037.4532,296531.1881
3114,20140111,2014,1,11,Saturday,940,Slight,A,14,Not at junction,Day,Fine (no wind),Wet/damp,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A14 EBC AFTER JUNCTION TO QUY BEFORE 3 LANES START,2,Car,Going ahead,W,E,"Not at,or within 20m of, junction",Did not skid,Car,Ovrtking moving veh on offsde,N,S,"Not at,or within 20m of, junction",Did not skid,,,,,,,555038.9994,259652.0046
3115,20150109,2015,1,9,Friday,1710,Slight,A,47,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A47 E SOKE PARKWAY JUNCTION 19 OFF SLIP PETERBOROUGH,3,Car,Changing lane to right,W,E,"Not at,or within 20m of, junction",Skidded,Car,Going ahead,W,E,"Not at,or within 20m of, junction",Did not skid,Car,Waiting to go ahd but held up,W,E,"Not at,or within 20m of, junction",Did not skid,518726.7196,301970.3012
3116,20160108,2016,1,8,Friday,1805,Serious,A,605,Mini-roundabout,Dark,Fine (no wind),Wet/damp,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,WHITTLESEY RD JUNCTION HIGH ST PETERBOROUGH,2,Car,Moving off,SE,NW,Entering roundabout,Did not skid,Pedal cycle,Going ahead,W,E,Leaving roundabout,Did not skid,,,,,,,519992.9796,297092.5374
3212,20120103,2012,1,3,Tuesday,1645,Slight,A,14,Not at junction,Dark,Fine & windy,Wet/damp,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A14 CATWORTH 500M EAST OF KEYSTONE JCT MOST DETAILS UK,9,Car,Going ahead,E,W,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,E,W,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,E,W,"Not at,or within 20m of, junction",Did not skid,505305.7885,275649.4354
3214,20140111,2014,1,11,Saturday,1845,Slight,C,310,'T'/staggered junctn,Dark,Fine (no wind),Dry,30,N,N,Y,Y,Y,N,N,N,N,N,1,Male,14,Slight, In c/w and crossing road,Crossing from driver's offside,Towards NE,C310 CLARKSON AVE JUNCTION TRAFFORD RD WISBECH,1,Car,Going ahead,SE,NW,Approaching jnctn or waiting/parked,Did not skid,,,,,,,,,,,,,546943.0007,309940.7596
3215,20150109,2015,1,9,Friday,1800,Slight,A,15,'T'/staggered junctn,Day,Fine (no wind),Wet/damp,30,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,LINCOLN RD JUNCTION PASTON LANE PETERBOROUGH,2,Car,Going ahead,NW,SE,Approaching jnctn or waiting/parked,Did not skid,Car,Turning right,NE,NW,Entering main road,Skidded,,,,,,,517634.381,301706.3767
3216,20160108,2016,1,8,Friday,1610,Slight,C,285,Roundabout,Dark,Fine (no wind),Wet/damp,40,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,BRETTON WAY JUNCTION LINK SIDE PETERBOROUGH,1,Motorcycle >50 <= 12,Going ahead,SW,NE,Approaching jnctn or waiting/parked,Did not skid,,,,,,,,,,,,,516806.5933,302035.2326
